GeoAreaName;GeoAreaCode;SeriesDescription;SeriesCode;TimePeriod;Value;Source;Location;Sex;TypeofProduct;GroundsOfDiscrimination;Units
Africa Eastern and Southern;AFE;GDP (current US$);NY.GDP.MKTP.CD;1960;24210632546.4092;World Bank;;;;;USD
Africa Western and Central;AFW;GDP (current US$);NY.GDP.MKTP.CD;1960;11904954209.7913;World Bank;;;;;USD
Australia;AUS;GDP (current US$);NY.GDP.MKTP.CD;1960;18607682977.2293;World Bank;;;;;USD
Austria;AUT;GDP (current US$);NY.GDP.MKTP.CD;1960;6624086313.14334;World Bank;;;;;USD
Burundi;BDI;GDP (current US$);NY.GDP.MKTP.CD;1960;195999989.80792;World Bank;;;;;USD
Belgium;BEL;GDP (current US$);NY.GDP.MKTP.CD;1960;11810619368.3874;World Bank;;;;;USD
Benin;BEN;GDP (current US$);NY.GDP.MKTP.CD;1960;226195578.434497;World Bank;;;;;USD
Burkina Faso;BFA;GDP (current US$);NY.GDP.MKTP.CD;1960;330442815.821186;World Bank;;;;;USD
Bangladesh;BGD;GDP (current US$);NY.GDP.MKTP.CD;1960;4274894083.33333;World Bank;;;;;USD
Bahamas; The;GDP (current US$);NY.GDP.MKTP.CD;1960;169735993.889504;World Bank;;;;;USD
Belize;BLZ;GDP (current US$);NY.GDP.MKTP.CD;1960;28072478.0724781;World Bank;;;;;USD
Bermuda;BMU;GDP (current US$);NY.GDP.MKTP.CD;1960;72400000.0;World Bank;;;;;USD
Bolivia;BOL;GDP (current US$);NY.GDP.MKTP.CD;1960;373250000.0;World Bank;;;;;USD
Brazil;BRA;GDP (current US$);NY.GDP.MKTP.CD;1960;17030465539.3906;World Bank;;;;;USD
Barbados;BRB;GDP (current US$);NY.GDP.MKTP.CD;1960;80021846.9120401;World Bank;;;;;USD
Botswana;BWA;GDP (current US$);NY.GDP.MKTP.CD;1960;30411413.6552828;World Bank;;;;;USD
Central African Republic;CAF;GDP (current US$);NY.GDP.MKTP.CD;1960;112155598.492157;World Bank;;;;;USD
Canada;CAN;GDP (current US$);NY.GDP.MKTP.CD;1960;40563768946.9503;World Bank;;;;;USD
Switzerland;CHE;GDP (current US$);NY.GDP.MKTP.CD;1960;10412232620.5258;World Bank;;;;;USD
Chile;CHL;GDP (current US$);NY.GDP.MKTP.CD;1960;4110000000.0;World Bank;;;;;USD
China;CHN;GDP (current US$);NY.GDP.MKTP.CD;1960;59716249310.9742;World Bank;;;;;USD
Cote d'Ivoire;CIV;GDP (current US$);NY.GDP.MKTP.CD;1960;546203559.344361;World Bank;;;;;USD
Cameroon;CMR;GDP (current US$);NY.GDP.MKTP.CD;1960;614206068.497266;World Bank;;;;;USD
Congo; Dem. Rep.;GDP (current US$);NY.GDP.MKTP.CD;1960;3359404117.64706;World Bank;;;;;USD
Congo; Rep.;GDP (current US$);NY.GDP.MKTP.CD;1960;131731862.783017;World Bank;;;;;USD
Colombia;COL;GDP (current US$);NY.GDP.MKTP.CD;1960;4031152976.63904;World Bank;;;;;USD
Costa Rica;CRI;GDP (current US$);NY.GDP.MKTP.CD;1960;507513829.994855;World Bank;;;;;USD
Caribbean small states;CSS;GDP (current US$);NY.GDP.MKTP.CD;1960;641146358.588231;World Bank;;;;;USD
Germany;DEU;GDP (current US$);NY.GDP.MKTP.CD;1960;84619845881.2608;World Bank;;;;;USD
Denmark;DNK;GDP (current US$);NY.GDP.MKTP.CD;1960;6361166544.50349;World Bank;;;;;USD
Dominican Republic;DOM;GDP (current US$);NY.GDP.MKTP.CD;1960;672399700.0;World Bank;;;;;USD
Algeria;DZA;GDP (current US$);NY.GDP.MKTP.CD;1960;2723615451.30098;World Bank;;;;;USD
East Asia & Pacific (excluding high income);EAP;GDP (current US$);NY.GDP.MKTP.CD;1960;80752362533.5747;World Bank;;;;;USD
Early-demographic dividend;EAR;GDP (current US$);NY.GDP.MKTP.CD;1960;151408515299.426;World Bank;;;;;USD
East Asia & Pacific;EAS;GDP (current US$);NY.GDP.MKTP.CD;1960;157146103914.433;World Bank;;;;;USD
Europe & Central Asia;ECS;GDP (current US$);NY.GDP.MKTP.CD;1960;426424801995.06;World Bank;;;;;USD
Ecuador;ECU;GDP (current US$);NY.GDP.MKTP.CD;1960;2069464937.19791;World Bank;;;;;USD
Egypt; Arab Rep.;GDP (current US$);NY.GDP.MKTP.CD;1960;4206270175.31699;World Bank;;;;;USD
Euro area;EMU;GDP (current US$);NY.GDP.MKTP.CD;1960;251413246919.607;World Bank;;;;;USD
Spain;ESP;GDP (current US$);NY.GDP.MKTP.CD;1960;12424514013.7604;World Bank;;;;;USD
