GeoAreaName;GeoAreaCode;SeriesDescription;SeriesCode;TimePeriod;Value;Source;Location;Sex;TypeofProduct;GroundsOfDiscrimination;Units
Argentina;ARG;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.417490005;World Bank;;;;;PERCENT
Australia;AUS;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.662179947;World Bank;;;;;PERCENT
Austria;AUT;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.580770016;World Bank;;;;;PERCENT
Azerbaijan;AZE;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.235330001;World Bank;;;;;PERCENT
Belgium;BEL;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.742990017;World Bank;;;;;PERCENT
Burkina Faso;BFA;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.158340007;World Bank;;;;;PERCENT
Bulgaria;BGR;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.418260008;World Bank;;;;;PERCENT
Belarus;BLR;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.998520017;World Bank;;;;;PERCENT
Bolivia;BOL;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.32543999;World Bank;;;;;PERCENT
Canada;CAN;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.606819987;World Bank;;;;;PERCENT
Central Europe and the Baltics;CEB;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.724150396;World Bank;;;;;PERCENT
Switzerland;CHE;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.376490116;World Bank;;;;;PERCENT
China;CHN;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.563239992;World Bank;;;;;PERCENT
Costa Rica;CRI;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.302210003;World Bank;;;;;PERCENT
Cuba;CUB;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.347359985;World Bank;;;;;PERCENT
Czechia;CZE;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.889119983;World Bank;;;;;PERCENT
Germany;DEU;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.144609928;World Bank;;;;;PERCENT
Denmark;DNK;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.80666995;World Bank;;;;;PERCENT
East Asia & Pacific (excluding high income);EAP;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.461941438;World Bank;;;;;PERCENT
East Asia & Pacific;EAS;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.185486279;World Bank;;;;;PERCENT
Europe & Central Asia;ECS;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.651949711;World Bank;;;;;PERCENT
Ecuador;ECU;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.07406;World Bank;;;;;PERCENT
Egypt, Arab Rep.;EGY;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.212599993;World Bank;;;;;PERCENT
Euro area;EMU;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.73989538;World Bank;;;;;PERCENT
Spain;ESP;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.787530005;World Bank;;;;;PERCENT
European Union;EUU;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.698370457;World Bank;;;;;PERCENT
Finland;FIN;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.452559948;World Bank;;;;;PERCENT
France;FRA;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.222800016;World Bank;;;;;PERCENT
United Kingdom;GBR;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.575399995;World Bank;;;;;PERCENT
Georgia;GEO;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.330879986;World Bank;;;;;PERCENT
High income;HIC;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.128280925;World Bank;;;;;PERCENT
Hungary;HUN;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.630270004;World Bank;;;;;PERCENT
India;IND;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.639050007;World Bank;;;;;PERCENT
Ireland;IRL;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.271559954;World Bank;;;;;PERCENT
Israel;ISR;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.488509893;World Bank;;;;;PERCENT
Italy;ITA;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.945900023;World Bank;;;;;PERCENT
Japan;JPN;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.643029928;World Bank;;;;;PERCENT
Korea, Rep.;KOR;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.216160059;World Bank;;;;;PERCENT
Sri Lanka;LKA;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.183559999;World Bank;;;;;PERCENT
Lithuania;LTU;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.491699994;World Bank;;;;;PERCENT
Latvia;LVA;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.396890014;World Bank;;;;;PERCENT
Moldova;MDA;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.872959971;World Bank;;;;;PERCENT
Mexico;MEX;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.23838;World Bank;;;;;PERCENT
Malaysia;MYS;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.216450006;World Bank;;;;;PERCENT
North America;NAC;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.389029972;World Bank;;;;;PERCENT
Netherlands;NLD;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.840929985;World Bank;;;;;PERCENT
OECD members;OED;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.109586228;World Bank;;;;;PERCENT
Panama;PAN;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.310099989;World Bank;;;;;PERCENT
Poland;POL;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.639370024;World Bank;;;;;PERCENT
Portugal;PRT;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.549499989;World Bank;;;;;PERCENT
Post-demographic dividend;PST;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;2.162315867;World Bank;;;;;PERCENT
Romania;ROU;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.674719989;World Bank;;;;;PERCENT
Russian Federation;RUS;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.965919971;World Bank;;;;;PERCENT
South Asia;SAS;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.623488638;World Bank;;;;;PERCENT
Singapore;SGP;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.319910049;World Bank;;;;;PERCENT
Slovak Republic;SVK;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.88963002;World Bank;;;;;PERCENT
Slovenia;SVN;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;1.264729977;World Bank;;;;;PERCENT
East Asia & Pacific (IDA & IBRD countries);TEA;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.461941438;World Bank;;;;;PERCENT
Europe & Central Asia (IDA & IBRD countries);TEC;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.758343041;World Bank;;;;;PERCENT
Thailand;THA;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.119180001;World Bank;;;;;PERCENT
South Asia (IDA & IBRD);TSA;Research and development expenditure (% of GDP);GB.XPD.RSDV.GD.ZS;1996;0.623488638;World Bank;;;;;PERCENT
