GeoAreaName;GeoAreaCode;SeriesDescription;SeriesCode;TimePeriod;Value;Source;Location;Sex;TypeofProduct;GroundsOfDiscrimination;Units
Micronesia, Fed. Sts.;FSM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2000;6.254328926;World Bank;;;;;PERCENT
Eswatini;SWZ;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2000;44.35984761;World Bank;;;;;PERCENT
Cote d'Ivoire;CIV;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2002;5.775057278;World Bank;;;;;PERCENT
Djibouti;DJI;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2002;2.819748691;World Bank;;;;;PERCENT
Jamaica;JAM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2002;26.34883265;World Bank;;;;;PERCENT
Burkina Faso;BFA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2003;34.26921221;World Bank;;;;;PERCENT
Namibia;NAM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2003;9.840997257;World Bank;;;;;PERCENT
Ethiopia;ETH;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2004;0.51447359;World Bank;;;;;PERCENT
India;IND;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2004;24.032302;World Bank;;;;;PERCENT
Lebanon;LBN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2004;4.833220177;World Bank;;;;;PERCENT
Malawi;MWI;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2004;50.76538466;World Bank;;;;;PERCENT
Turkiye;TUR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2004;27.21968446;World Bank;;;;;PERCENT
Bangladesh;BGD;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2005;12.39732413;World Bank;;;;;PERCENT
Gabon;GAB;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2005;44.70376746;World Bank;;;;;PERCENT
Kenya;KEN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2005;20.02354524;World Bank;;;;;PERCENT
Nicaragua;NIC;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2005;47.24763549;World Bank;;;;;PERCENT
Poland;POL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2005;50.58280056;World Bank;;;;;PERCENT
Rwanda;RWA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2005;1.872439693;World Bank;;;;;PERCENT
Solomon Islands;SLB;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2005;1.664507776;World Bank;;;;;PERCENT
Turkiye;TUR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2005;27.6037286;World Bank;;;;;PERCENT
Uganda;UGA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2005;9.841156561;World Bank;;;;;PERCENT
Yemen, Rep.;YEM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2005;12.57221261;World Bank;;;;;PERCENT
South Africa;ZAF;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2005;56.58679395;World Bank;;;;;PERCENT
Argentina;ARG;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;11.35351066;World Bank;;;;;PERCENT
Bolivia;BOL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;11.66575115;World Bank;;;;;PERCENT
Brazil;BRA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;25.28841801;World Bank;;;;;PERCENT
Chile;CHL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;76.94376633;World Bank;;;;;PERCENT
Guatemala;GTM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;47.1112885;World Bank;;;;;PERCENT
Iraq;IRQ;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;79.97487458;World Bank;;;;;PERCENT
Jordan;JOR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;80.71908175;World Bank;;;;;PERCENT
Kyrgyz Republic;KGZ;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;8.114906547;World Bank;;;;;PERCENT
Sri Lanka;LKA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;29.65362523;World Bank;;;;;PERCENT
Mauritius;MUS;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;40.56690775;World Bank;;;;;PERCENT
Poland;POL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;49.32769045;World Bank;;;;;PERCENT
Thailand;THA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;43.28242617;World Bank;;;;;PERCENT
Turkiye;TUR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;30.50475576;World Bank;;;;;PERCENT
Ukraine;UKR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;47.44563397;World Bank;;;;;PERCENT
Venezuela, RB;VEN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;4.739150045;World Bank;;;;;PERCENT
Viet Nam;VNM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;22.53121157;World Bank;;;;;PERCENT
Kosovo;XKX;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2006;6.991670342;World Bank;;;;;PERCENT
Afghanistan;AFG;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;15.26276264;World Bank;;;;;PERCENT
Bulgaria;BGR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;39.53488367;World Bank;;;;;PERCENT
Bosnia and Herzegovina;BIH;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;23.82791924;World Bank;;;;;PERCENT
Bolivia;BOL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;54.58851402;World Bank;;;;;PERCENT
Bhutan;BTN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;1.01001596;World Bank;;;;;PERCENT
Cameroon;CMR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;1.365216779;World Bank;;;;;PERCENT
Cabo Verde;CPV;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;21.86641065;World Bank;;;;;PERCENT
Dominican Republic;DOM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;10.41048161;World Bank;;;;;PERCENT
Hungary;HUN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;59.53975422;World Bank;;;;;PERCENT
Kazakhstan;KAZ;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;29.09089001;World Bank;;;;;PERCENT
Liberia;LBR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;30.47014765;World Bank;;;;;PERCENT
Mongolia;MNG;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;83.2392436;World Bank;;;;;PERCENT
Pakistan;PAK;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;2.598012452;World Bank;;;;;PERCENT
Poland;POL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;47.58558541;World Bank;;;;;PERCENT
Paraguay;PRY;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;32.72421504;World Bank;;;;;PERCENT
West Bank and Gaza;PSE;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;11.48964948;World Bank;;;;;PERCENT
Russian Federation;RUS;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;28.16465981;World Bank;;;;;PERCENT
El Salvador;SLV;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;29.17817677;World Bank;;;;;PERCENT
Serbia;SRB;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;11.85202639;World Bank;;;;;PERCENT
Timor-Leste;TLS;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;26.26864786;World Bank;;;;;PERCENT
Turkiye;TUR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;33.16355257;World Bank;;;;;PERCENT
Zimbabwe;ZWE;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2007;19.97841617;World Bank;;;;;PERCENT
Albania;ALB;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;32.67408536;World Bank;;;;;PERCENT
Armenia;ARM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;22.4404155;World Bank;;;;;PERCENT
Belarus;BLR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;59.94742717;World Bank;;;;;PERCENT
Bolivia;BOL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;71.42288543;World Bank;;;;;PERCENT
Cote d'Ivoire;CIV;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;26.71842683;World Bank;;;;;PERCENT
Costa Rica;CRI;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;54.2578597;World Bank;;;;;PERCENT
Dominican Republic;DOM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;19.13767807;World Bank;;;;;PERCENT
Ecuador;ECU;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;57.87630737;World Bank;;;;;PERCENT
Egypt, Arab Rep.;EGY;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;44.87780734;World Bank;;;;;PERCENT
Fiji;FJI;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;9.552389271;World Bank;;;;;PERCENT
Honduras;HND;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;49.84826143;World Bank;;;;;PERCENT
Croatia;HRV;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;23.311343;World Bank;;;;;PERCENT
Lithuania;LTU;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;58.67134067;World Bank;;;;;PERCENT
Latvia;LVA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;38.96895553;World Bank;;;;;PERCENT
Mexico;MEX;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;15.62600354;World Bank;;;;;PERCENT
Mozambique;MOZ;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;5.173860629;World Bank;;;;;PERCENT
Mauritania;MRT;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;33.52565832;World Bank;;;;;PERCENT
Malaysia;MYS;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;82.81368523;World Bank;;;;;PERCENT
Panama;PAN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;52.02119038;World Bank;;;;;PERCENT
Peru;PER;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;43.54482206;World Bank;;;;;PERCENT
Poland;POL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;43.29233535;World Bank;;;;;PERCENT
Paraguay;PRY;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;38.94794175;World Bank;;;;;PERCENT
Romania;ROU;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;55.41552572;World Bank;;;;;PERCENT
El Salvador;SLV;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;32.14727795;World Bank;;;;;PERCENT
Turkiye;TUR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;37.05218498;World Bank;;;;;PERCENT
Tanzania;TZA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;8.779000757;World Bank;;;;;PERCENT
Uruguay;URY;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2008;48.05972803;World Bank;;;;;PERCENT
Armenia;ARM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;19.59613643;World Bank;;;;;PERCENT
Belarus;BLR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;58.55186834;World Bank;;;;;PERCENT
Belize;BLZ;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;16.27321633;World Bank;;;;;PERCENT
Bolivia;BOL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;77.94025848;World Bank;;;;;PERCENT
Brazil;BRA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;17.56058594;World Bank;;;;;PERCENT
Botswana;BWA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;73.77427204;World Bank;;;;;PERCENT
Chile;CHL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;77.89654459;World Bank;;;;;PERCENT
Costa Rica;CRI;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;52.60413398;World Bank;;;;;PERCENT
Dominican Republic;DOM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;25.49091713;World Bank;;;;;PERCENT
Honduras;HND;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;49.00481828;World Bank;;;;;PERCENT
Indonesia;IDN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;40.94486367;World Bank;;;;;PERCENT
India;IND;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;17.24391696;World Bank;;;;;PERCENT
Sri Lanka;LKA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;23.64756751;World Bank;;;;;PERCENT
Latvia;LVA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;50.81145972;World Bank;;;;;PERCENT
Morocco;MAR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;36.5889383;World Bank;;;;;PERCENT
Maldives;MDV;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;26.62472106;World Bank;;;;;PERCENT
Mongolia;MNG;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;83.86137969;World Bank;;;;;PERCENT
Namibia;NAM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;15.16233679;World Bank;;;;;PERCENT
Nicaragua;NIC;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;39.65900569;World Bank;;;;;PERCENT
Pakistan;PAK;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;12.25607565;World Bank;;;;;PERCENT
Panama;PAN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;51.79344528;World Bank;;;;;PERCENT
Peru;PER;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;56.96581609;World Bank;;;;;PERCENT
Papua New Guinea;PNG;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;3.35500496;World Bank;;;;;PERCENT
Poland;POL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;41.08965291;World Bank;;;;;PERCENT
Paraguay;PRY;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;39.85430025;World Bank;;;;;PERCENT
West Bank and Gaza;PSE;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2009;10.71726135;World Bank;;;;;PERCENT
